roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
0.44501429,0.149456932,0.058542515,0.286219081,0.219626168,0.248164682,0.260173471,0.999917072,0.955834881,1
0.424954238,0.140014227,0.057714579,0.282685512,0.252336449,0.248157543,0.260173471,0.999917072,0.955767234,1
0.412056783,0.14011211,0.060637245,0.272084806,0.257009346,0.248157543,0.260144148,0.999923169,0.955840571,1
0.435362819,0.142193864,0.060566758,0.268551237,0.242990654,0.248161113,0.260139959,0.999964024,0.955846893,1
0.42944002,0.148341399,0.05878015,0.272084806,0.252336449,0.248179555,0.260139959,0.999970121,0.955846893,1
0.432134419,0.147218987,0.057641541,0.300353357,0.224299065,0.248197998,0.260147738,0.999970121,0.955846893,1
0.431093085,0.146791288,0.058276753,0.356890459,0.154205607,0.248197998,0.260154919,0.999970121,0.955846893,1
0.436309172,0.143645668,0.057945427,0.392226148,0.154205607,0.248197998,0.260162699,0.999952438,0.955840571,1
0.434954925,0.141033304,0.058086697,0.378091873,0.163551402,0.248197998,0.260162699,0.999946341,0.955840571,1
0.445863751,0.147164067,0.056460549,0.32155477,0.196261682,0.248197998,0.260162699,0.999946341,0.955840571,1
0.43527332,0.150963657,0.056325895,0.286219081,0.238317757,0.248194428,0.260162699,0.999928657,0.955828559,1
0.438504739,0.142719633,0.057371693,0.261484099,0.242990654,0.248175986,0.260162699,0.999928657,0.955822237,1
0.447360664,0.13917216,0.058353216,0.254416961,0.228971963,0.248175986,0.260162699,0.999928657,0.955822237,1
0.445600904,0.139909676,0.058036443,0.261484099,0.210280374,0.248153379,0.26015851,0.999976219,0.955822237,1
0.438771794,0.13636805,0.05928643,0.275618375,0.247663551,0.248153379,0.260154919,0.999987805,0.955828559,1
0.43009866,0.165494661,0.057893879,0.279151943,0.261682243,0.248153379,0.260154919,1,0.955834881,1
0.439096282,0.220282791,0.053881075,0.275618375,0.26635514,0.248157543,0.260136368,1,0.955834881,1
0.422795916,0.215414494,0.047123407,0.279151943,0.271028037,0.248175986,0.260136368,0.999993902,0.955834881,1
0.419657597,0.211107706,0.046643991,0.275618375,0.280373832,0.248175986,0.260136368,0.999970121,0.955834881,1
0.421579877,0.203102466,0.047225221,0.279151943,0.275700935,0.248179555,0.260139959,0.999910974,0.955834881,1
0.423240806,0.19407008,0.047998765,0.282685512,0.280373832,0.248179555,0.260147738,0.999910974,0.955834881,1
0.421538728,0.192716371,0.049849671,0.279151943,0.280373832,0.248179555,0.260154919,0.999910974,0.955834881,1
0.422772683,0.192938197,0.049652511,0.279151943,0.275700935,0.248179555,0.26015851,0.999923169,0.955834881,1
0.423355531,0.19075311,0.049780128,0.279151943,0.280373832,0.248179555,0.26015851,0.999934755,0.955834881,1
0.421966255,0.189271412,0.049971318,0.279151943,0.280373832,0.248179555,0.260162699,0.999952438,0.955834881,1
0.423045637,0.192840287,0.049148847,0.279151943,0.271028037,0.248179555,0.260162699,0.999958536,0.955834881,1
0.422695563,0.18946337,0.049372239,0.279151943,0.280373832,0.248179555,0.260162699,0.999958536,0.955834881,1
0.421952852,0.194256985,0.050380035,0.279151943,0.280373832,0.248179555,0.260162699,0.999964024,0.955834881,1
0.420536327,0.198993086,0.049407074,0.282685512,0.275700935,0.248335423,0.260308115,0.999704263,0.955767234,1
0.423382974,0.210422069,0.046179183,0.282685512,0.275700935,0.251267767,0.264268471,0.994017577,0.948504374,1
0.431208752,0.21125141,0.041446959,0.268551237,0.257009346,0.259702494,0.271753532,0.977926439,0.934321945,1
0.4213643,0.191703563,0.039755203,0.250883392,0.228971963,0.273468863,0.285575281,0.951615608,0.907624233,1
0.417420244,0.182854034,0.041038086,0.250883392,0.224299065,0.292522256,0.304759488,0.915668631,0.870924282,1
0.430349488,0.166324029,0.043887353,0.247349823,0.238317757,0.312606639,0.324961611,0.883930265,0.838011918,3
0.431677456,0.160760993,0.045736589,0.243816254,0.224299065,0.341566582,0.354088598,0.846062522,0.798608626,3
0.417744814,0.170653409,0.046901901,0.250883392,0.228971963,0.375773094,0.388508027,0.808046606,0.759340627,3
0.421417245,0.204008713,0.045908266,0.102473498,0.26635514,0.406294098,0.419204673,0.77675154,0.720071996,3
0.425691272,0.308169082,0.03901781,0.084805654,0.327102804,0.443255074,0.456391205,0.738883797,0.687619251,3
0.444919779,0.47393422,0.999545735,0.084805654,0.378504673,0.480335033,0.493674681,0.701009347,0.648210269,3
0.39220054,0.533292525,0.99565082,0.077738516,0.378504673,0.517296009,0.530857024,0.663005626,0.608960604,3
0.343972094,0.546164873,0.992646462,0.084805654,0.420560748,0.548258441,0.56200907,0.631249577,0.569661627,3
0.360418255,0.529113913,0.992483173,0.074204947,0.429906542,0.585337806,0.599296136,0.593369639,0.536767597,3
0.37759533,0.469222351,0.994621643,0.074204947,0.406542056,0.622302946,0.636479077,0.555489701,0.497352293,3
0.374569936,0.388107275,0.295173748,0.098939929,0.41588785,0.653268947,0.667627533,0.52363365,0.458084294,3
0.403120802,0.355067238,0.08934039,0.141342756,0.429906542,0.690233493,0.704806285,0.485747614,0.425165608,3
0.455778318,0.379272482,0.034028462,0.201413428,0.53271028,0.729189224,0.743995136,0.445881665,0.383770846,3
0.483280567,0.417469046,0.013644245,0.261484099,0.621495327,0.764263124,0.779279883,0.409869443,0.346487995,2
0.433686521,0.457744109,0.722243857,0.310954064,0.663551402,0.794788293,0.809984309,0.378580475,0.307213674,2
0.426784998,0.493288733,0.651311227,0.374558304,0.635514019,0.831864088,0.847163062,0.340700537,0.274779263,2
0.42826286,0.512492267,0.903885656,0.427561837,0.654205607,0.86849548,0.883387331,0.302815111,0.235382293,2
